epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,535.183,1.4623,1.8611,1.81014,0.79859,0.67287,0.74885,0.46517,1.32235,1.13161,1.61598,0.00333077,0.00333077,0.00333077
2,1054.48,1.13944,1.1689,1.49544,0.84947,0.748,0.82203,0.55731,1.16972,0.8998,1.47646,0.00659813,0.00659813,0.00659813
3,1558.01,1.11725,1.10856,1.48382,0.85573,0.74727,0.81789,0.5523,1.18591,0.90755,1.51562,0.00979948,0.00979948,0.00979948
4,2060.91,1.10314,1.06903,1.47361,0.88254,0.7866,0.8628,0.6102,1.07317,0.81294,1.40493,0.009703,0.009703,0.009703
5,2564.44,1.06264,1.02603,1.44419,0.88262,0.79243,0.86177,0.59273,1.10922,0.78332,1.4132,0.009604,0.009604,0.009604
6,3064.41,1.03352,0.96791,1.41839,0.89599,0.80554,0.87844,0.65066,0.96617,0.70212,1.31923,0.009505,0.009505,0.009505
7,3563.57,1.00539,0.93849,1.3991,0.88016,0.83066,0.88686,0.67036,0.94137,0.68498,1.29019,0.009406,0.009406,0.009406
8,4063.28,0.98663,0.90869,1.38127,0.90684,0.83103,0.89229,0.68908,0.89353,0.64141,1.24453,0.009307,0.009307,0.009307
9,4560.59,0.97322,0.87482,1.369,0.89618,0.8394,0.89804,0.69649,0.88351,0.627,1.23922,0.009208,0.009208,0.009208
10,5058.19,0.95541,0.85588,1.35694,0.91727,0.84013,0.91,0.6975,0.87715,0.60223,1.23357,0.009109,0.009109,0.009109
11,5560.4,0.94416,0.84049,1.34722,0.91262,0.85202,0.90846,0.69931,0.87039,0.59679,1.22017,0.00901,0.00901,0.00901
12,6059.82,0.93688,0.82819,1.33974,0.9158,0.85761,0.91465,0.72155,0.83487,0.5567,1.18826,0.008911,0.008911,0.008911
13,6558.41,0.92571,0.81601,1.33299,0.93475,0.86235,0.91845,0.72834,0.82139,0.54422,1.18622,0.008812,0.008812,0.008812
