epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.6909,1.33977,1.06294,1.21802,0.87187,0.76881,0.85042,0.53969,1.24212,0.66902,1.11735,0.00332935,0.00332935,0.00332935
2,191.181,1.22198,0.73338,1.09459,0.86961,0.7635,0.84362,0.54013,1.23357,0.6958,1.1113,0.00659672,0.00659672,0.00659672
3,282.642,1.2568,0.79472,1.11675,0.87833,0.71147,0.79868,0.49605,1.30634,0.82211,1.15681,0.0097981,0.0097981,0.0097981
4,375.103,1.28979,0.83164,1.13435,0.8804,0.74813,0.8333,0.53254,1.24681,0.71196,1.12617,0.009703,0.009703,0.009703
5,468.239,1.26519,0.79239,1.12625,0.87755,0.76124,0.83976,0.53611,1.23792,0.69618,1.11984,0.009604,0.009604,0.009604
6,560.808,1.24577,0.75912,1.11437,0.89193,0.76049,0.84917,0.5465,1.22688,0.6638,1.10815,0.009505,0.009505,0.009505
7,653.493,1.22787,0.7375,1.10037,0.87513,0.78937,0.85903,0.556,1.21275,0.65438,1.09996,0.009406,0.009406,0.009406
8,747.297,1.21,0.71866,1.09882,0.89274,0.78202,0.8611,0.55806,1.21096,0.63359,1.10291,0.009307,0.009307,0.009307
9,840.246,1.20163,0.70806,1.09566,0.87899,0.79771,0.86685,0.56697,1.19667,0.61459,1.09592,0.009208,0.009208,0.009208
10,932.35,1.19426,0.68806,1.0925,0.89149,0.79058,0.86062,0.56665,1.19013,0.61918,1.09197,0.009109,0.009109,0.009109
11,1029.12,1.18625,0.6791,1.08575,0.89116,0.79663,0.86901,0.56907,1.18707,0.60304,1.08871,0.00901,0.00901,0.00901
12,1123.56,1.18026,0.66458,1.08209,0.89197,0.7992,0.87291,0.57591,1.17835,0.59023,1.08569,0.008911,0.008911,0.008911
13,1216.92,1.17266,0.66061,1.07885,0.88685,0.80212,0.87269,0.57524,1.1813,0.59677,1.08372,0.008812,0.008812,0.008812
14,1309.72,1.16874,0.65497,1.07623,0.89041,0.79998,0.87603,0.57949,1.17472,0.57897,1.07833,0.008713,0.008713,0.008713
15,1402.93,1.16164,0.64351,1.07393,0.89283,0.80163,0.87665,0.57959,1.17517,0.58326,1.08404,0.008614,0.008614,0.008614
16,1494.94,1.15728,0.64091,1.06886,0.89532,0.80503,0.87998,0.58226,1.16695,0.56934,1.07421,0.008515,0.008515,0.008515
17,1587.44,1.16162,0.63726,1.07209,0.88823,0.80944,0.88039,0.58535,1.1651,0.56132,1.07365,0.008416,0.008416,0.008416
18,1680.31,1.1514,0.63066,1.06959,0.88538,0.81377,0.88273,0.58543,1.16161,0.55927,1.06564,0.008317,0.008317,0.008317
19,1772.8,1.14671,0.6222,1.06379,0.88246,0.816,0.88139,0.58692,1.15533,0.55322,1.06926,0.008218,0.008218,0.008218
20,1865.05,1.14169,0.61939,1.06755,0.89307,0.81522,0.88615,0.58913,1.15566,0.55289,1.06819,0.008119,0.008119,0.008119
21,1957.75,1.14589,0.61713,1.06124,0.89087,0.81425,0.88506,0.58903,1.15308,0.54513,1.06985,0.00802,0.00802,0.00802
22,2051.29,1.13314,0.60847,1.05876,0.89295,0.81445,0.88762,0.5902,1.15283,0.54549,1.06317,0.007921,0.007921,0.007921
23,2144.15,1.13521,0.61125,1.06138,0.89441,0.81455,0.88736,0.59198,1.15043,0.53928,1.06536,0.007822,0.007822,0.007822
24,2237.79,1.13614,0.60283,1.05683,0.89181,0.81746,0.88904,0.5945,1.14308,0.53491,1.06385,0.007723,0.007723,0.007723
25,2330.98,1.12946,0.59647,1.05554,0.89504,0.81639,0.89048,0.59549,1.14114,0.53177,1.06312,0.007624,0.007624,0.007624
26,2430.29,1.12403,0.59502,1.05427,0.87638,0.83288,0.89041,0.59436,1.14461,0.53207,1.05856,0.007525,0.007525,0.007525
27,2523.77,1.12284,0.59506,1.05091,0.88386,0.82493,0.89059,0.5955,1.1457,0.52758,1.05927,0.007426,0.007426,0.007426
28,2616.09,1.11681,0.58787,1.05115,0.88562,0.82659,0.8924,0.59735,1.14449,0.52091,1.05901,0.007327,0.007327,0.007327
29,2709.56,1.11245,0.58194,1.04324,0.89332,0.82524,0.8936,0.59875,1.13991,0.51342,1.05733,0.007228,0.007228,0.007228
30,2802.54,1.12118,0.58301,1.04924,0.88509,0.82726,0.8945,0.59899,1.13822,0.51591,1.05559,0.007129,0.007129,0.007129
31,2895.99,1.11226,0.57779,1.04538,0.89053,0.8262,0.89478,0.60002,1.14071,0.51361,1.06067,0.00703,0.00703,0.00703
32,2988.93,1.11237,0.57425,1.04597,0.88959,0.82532,0.89608,0.60036,1.13677,0.51421,1.05728,0.006931,0.006931,0.006931
33,3082.77,1.11557,0.57411,1.04707,0.89964,0.82037,0.89752,0.60173,1.13453,0.50841,1.05551,0.006832,0.006832,0.006832
34,3175.58,1.11081,0.57367,1.04538,0.89162,0.82814,0.89618,0.60138,1.13747,0.50897,1.05682,0.006733,0.006733,0.006733
35,3268.66,1.10317,0.56703,1.04466,0.88872,0.83128,0.89737,0.60243,1.13616,0.50567,1.05958,0.006634,0.006634,0.006634
36,3361.74,1.09982,0.55986,1.04234,0.90338,0.82474,0.89725,0.60418,1.13189,0.50187,1.05472,0.006535,0.006535,0.006535
37,3454.23,1.10217,0.56458,1.04594,0.89293,0.8292,0.89702,0.60326,1.133,0.50399,1.0582,0.006436,0.006436,0.006436
38,3547.96,1.09996,0.55983,1.04047,0.8938,0.83111,0.8979,0.60486,1.13044,0.49907,1.0516,0.006337,0.006337,0.006337
39,3641.53,1.1005,0.55902,1.0427,0.89282,0.83312,0.89974,0.60508,1.13198,0.49714,1.05465,0.006238,0.006238,0.006238
40,3756.99,1.08741,0.54995,1.03635,0.89134,0.8329,0.89892,0.60536,1.13058,0.49669,1.0562,0.006139,0.006139,0.006139
41,3850.09,1.08554,0.55308,1.04014,0.88984,0.83328,0.89996,0.60675,1.12715,0.4951,1.0536,0.00604,0.00604,0.00604
42,3942.88,1.08895,0.54917,1.0377,0.89694,0.82557,0.89935,0.60658,1.12684,0.49476,1.05134,0.005941,0.005941,0.005941
43,4038.22,1.08405,0.545,1.03623,0.89558,0.83024,0.89883,0.60627,1.12802,0.49464,1.0533,0.005842,0.005842,0.005842
44,4132.36,1.07957,0.54194,1.03186,0.89227,0.83183,0.89965,0.60712,1.1273,0.49245,1.05084,0.005743,0.005743,0.005743
45,4224.64,1.08289,0.54267,1.03284,0.88126,0.84316,0.90089,0.60696,1.12946,0.49291,1.05141,0.005644,0.005644,0.005644
46,4317.27,1.07504,0.5382,1.02966,0.89244,0.833,0.89956,0.60715,1.12785,0.49292,1.05155,0.005545,0.005545,0.005545
47,4409.23,1.07246,0.5381,1.03028,0.89381,0.83118,0.8999,0.60691,1.12778,0.49243,1.05209,0.005446,0.005446,0.005446
48,4500.44,1.07075,0.52992,1.02779,0.89213,0.83353,0.89991,0.60826,1.12737,0.48955,1.05099,0.005347,0.005347,0.005347
49,4592.34,1.0694,0.52631,1.03089,0.89417,0.82901,0.90034,0.60833,1.12787,0.48804,1.05388,0.005248,0.005248,0.005248
50,4684.55,1.06906,0.52588,1.02437,0.89396,0.83493,0.9014,0.60936,1.1271,0.48503,1.05113,0.005149,0.005149,0.005149
51,4776.72,1.07072,0.52653,1.02742,0.89465,0.83278,0.90088,0.60886,1.12705,0.48552,1.05093,0.00505,0.00505,0.00505
52,4869.56,1.06223,0.52068,1.02626,0.89227,0.83629,0.90168,0.60924,1.12598,0.48635,1.05145,0.004951,0.004951,0.004951
53,4961.77,1.06777,0.52396,1.02402,0.89375,0.83469,0.90076,0.60908,1.12603,0.48676,1.05087,0.004852,0.004852,0.004852
54,5054.2,1.05785,0.5205,1.02372,0.89096,0.83782,0.90195,0.60976,1.12473,0.48624,1.05084,0.004753,0.004753,0.004753
55,5146.59,1.06344,0.51867,1.02481,0.89,0.83905,0.9019,0.60958,1.12573,0.48365,1.05094,0.004654,0.004654,0.004654
56,5238.78,1.05582,0.5133,1.01883,0.89164,0.83756,0.9021,0.60998,1.12543,0.48285,1.05126,0.004555,0.004555,0.004555
57,5331.44,1.05791,0.51598,1.0192,0.88836,0.84067,0.90307,0.61012,1.12422,0.4817,1.04976,0.004456,0.004456,0.004456
58,5424.48,1.05274,0.50758,1.01967,0.89089,0.83875,0.90251,0.6097,1.12565,0.48175,1.05102,0.004357,0.004357,0.004357
59,5516.81,1.05026,0.50662,1.01797,0.89089,0.83875,0.90217,0.61061,1.12587,0.48079,1.05062,0.004258,0.004258,0.004258
60,5609.05,1.05128,0.50648,1.01814,0.89017,0.83921,0.90275,0.61056,1.12638,0.48092,1.05054,0.004159,0.004159,0.004159
61,5701.28,1.04686,0.5029,1.01228,0.89064,0.83765,0.90157,0.61019,1.12678,0.48194,1.05058,0.00406,0.00406,0.00406
62,5793.56,1.03644,0.49632,1.01424,0.893,0.8347,0.9013,0.61039,1.12686,0.48225,1.05111,0.003961,0.003961,0.003961
63,5885.92,1.04725,0.49769,1.01484,0.89232,0.83596,0.90089,0.60954,1.12667,0.48178,1.05067,0.003862,0.003862,0.003862
64,5977.56,1.04113,0.49275,1.01192,0.89049,0.8393,0.90182,0.61023,1.12698,0.48083,1.05123,0.003763,0.003763,0.003763
65,6069.56,1.04491,0.49825,1.01685,0.89123,0.83853,0.90108,0.60949,1.12741,0.48096,1.05181,0.003664,0.003664,0.003664
66,6161.58,1.03205,0.48908,1.00863,0.89216,0.83562,0.901,0.60959,1.12728,0.48112,1.05145,0.003565,0.003565,0.003565
67,6254.53,1.036,0.48979,1.00764,0.89422,0.83316,0.90115,0.61002,1.12877,0.48157,1.05172,0.003466,0.003466,0.003466
68,6347.58,1.03433,0.48649,1.00273,0.89539,0.83196,0.9012,0.61009,1.12927,0.48058,1.05106,0.003367,0.003367,0.003367
69,6441.14,1.03787,0.48862,1.00405,0.89524,0.83251,0.90139,0.61034,1.12926,0.48067,1.05085,0.003268,0.003268,0.003268
70,6534.09,1.02071,0.4787,1.0009,0.89466,0.83292,0.90129,0.61,1.1294,0.48045,1.0504,0.003169,0.003169,0.003169
71,6627.04,1.02386,0.47801,1.00574,0.89517,0.83243,0.90112,0.60947,1.12983,0.48076,1.05062,0.00307,0.00307,0.00307
72,6720.18,1.01874,0.47525,1.00304,0.89408,0.83274,0.90109,0.60978,1.12989,0.48099,1.05093,0.002971,0.002971,0.002971
73,6813.65,1.0162,0.47217,1.00171,0.89302,0.83358,0.9006,0.6093,1.13033,0.48115,1.05136,0.002872,0.002872,0.002872
74,6907.26,1.01444,0.47114,1.0028,0.89001,0.83804,0.90091,0.60908,1.13079,0.48082,1.052,0.002773,0.002773,0.002773
75,6999.51,1.01155,0.46659,1.00173,0.88996,0.83712,0.90083,0.60876,1.13117,0.48083,1.05252,0.002674,0.002674,0.002674
76,7093.1,1.00718,0.46545,0.99723,0.89428,0.83363,0.89982,0.60862,1.1315,0.48199,1.05284,0.002575,0.002575,0.002575
77,7186.67,1.00506,0.46355,0.99589,0.89194,0.83433,0.8994,0.60813,1.13183,0.4822,1.05286,0.002476,0.002476,0.002476
78,7279.69,1.00339,0.45975,0.9965,0.89437,0.83406,0.89939,0.60791,1.132,0.48279,1.05294,0.002377,0.002377,0.002377
79,7372.63,0.99743,0.45926,0.9937,0.89155,0.83569,0.89957,0.6079,1.13242,0.48283,1.05292,0.002278,0.002278,0.002278
80,7466.61,0.99572,0.45513,0.99012,0.89158,0.83599,0.89924,0.60772,1.13249,0.48338,1.05274,0.002179,0.002179,0.002179
81,7559.87,0.99358,0.45256,0.98936,0.89121,0.83598,0.89911,0.6073,1.13268,0.4834,1.05268,0.00208,0.00208,0.00208
82,7653.08,0.99127,0.45062,0.99015,0.89184,0.83484,0.89878,0.60731,1.13289,0.4835,1.05289,0.001981,0.001981,0.001981
83,7746.03,0.99298,0.45063,0.9909,0.89198,0.83462,0.89845,0.60727,1.13332,0.48368,1.0532,0.001882,0.001882,0.001882
84,7839.55,0.98834,0.44785,0.98858,0.89237,0.83401,0.89827,0.60721,1.13373,0.4837,1.05329,0.001783,0.001783,0.001783
85,7932.66,0.98434,0.44578,0.98862,0.89156,0.83474,0.89828,0.60684,1.13394,0.48392,1.05345,0.001684,0.001684,0.001684
